epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,6740.53,0.9839,0.88814,1.03595,0.82482,0.73765,0.82332,0.52384,1.00002,0.96011,1.08823,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,5862.32,0.97364,0.87486,1.03113,0.82415,0.73936,0.82336,0.52295,1.00513,0.95376,1.09336,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,6241.51,0.96305,0.85849,1.02686,0.82246,0.74216,0.82349,0.52203,1.01088,0.94809,1.09901,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,13044.3,1.03184,0.97793,1.05677,0.824,0.74011,0.82361,0.52274,1.0071,0.95022,1.09536,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,6301.31,0.94461,0.83294,1.01807,0.82275,0.74279,0.82379,0.52141,1.01553,0.94408,1.10244,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,6810.85,0.93238,0.81917,1.01194,0.82218,0.74513,0.82397,0.52013,1.02302,0.93979,1.10925,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,13727.6,1.01988,0.95825,1.05174,0.82378,0.74339,0.8245,0.52119,1.01789,0.94169,1.1039,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,6289.19,0.91203,0.79133,1.00283,0.82182,0.7462,0.82431,0.51945,1.02706,0.93659,1.11271,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,6639.18,0.99895,1.0241,1.08319,0.82402,0.74321,0.82507,0.52265,1.01286,0.9418,1.10046,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,6752.43,0.8981,0.77212,0.99671,0.82247,0.74609,0.82499,0.5208,1.02308,0.93547,1.11046,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,13449.8,0.99987,0.93136,1.04467,0.82395,0.74424,0.82521,0.52132,1.01954,0.93719,1.1066,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,20109.9,1.01854,0.9822,1.05334,0.8264,0.74204,0.82673,0.52317,1.01075,0.9406,1.09868,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,26775.3,1.02099,0.99515,1.05233,0.82869,0.74027,0.82744,0.5256,1.00215,0.9438,1.0913,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,6261.84,0.87203,0.73818,0.98469,0.82688,0.74443,0.82762,0.52324,1.01501,0.93471,1.10339,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,12538.6,0.96668,0.88525,1.03167,0.82679,0.74361,0.82742,0.52332,1.01421,0.9345,1.10365,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,18798,0.9954,0.94812,1.04531,0.82846,0.74161,0.82761,0.52438,1.00777,0.93681,1.09856,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,25044,1.00333,0.97127,1.04733,0.8301,0.73988,0.82828,0.52597,1.00025,0.93987,1.09256,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,6728.34,0.85132,0.71657,0.97587,0.82841,0.74371,0.82836,0.5239,1.01436,0.93042,1.1059,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
