set,city,label_id,pano_id,present
hf_validated,columbus-oh,31354,ricMvNNfCdcAY-Bmd1sJgQ,1
hf_validated,seattle-wa,77521,NybUD5uvJ0V4pr1DX9Vdxw,1
hf_validated,cdmx,623,hG1UatQlZ1N6YuisCcJ3fw,1
hf_validated,columbus-oh,30760,wKZeYV-xaKlA6qBarAR0Ow,1
hf_validated,newberg-or,2619,yKu400XrytRcj0IoDQgn1Q,1
hf_validated,columbus-oh,35397,7-_Y3iMjQ9Hrk0fL856-qQ,1
hf_validated,amsterdam,970,o54psoEU3dNjzEJItGVzhQ,1
hf_validated,chicago-il,8483,8La8CszX0I-EpgBNclqW4Q,1
hf_validated,chicago-il,28319,kxyMBHaJyEMis3k_AhIOpw,1
hf_validated,seattle-wa,124281,YbsgXg31wBhlfZ4QomTjSQ,1
hf_validated,chicago-il,13133,mu5POgJcrTQsQa-DN9sh3g,1
hf_validated,seattle-wa,159814,52Ze-pDqIwwRvxveX1IjRw,1
hf_validated,seattle-wa,263681,G8dkz3HcMDamm48WyxNlUg,1
hf_validated,seattle-wa,53468,HqBPkUSSnwezI4Vu78eaRw,1
hf_validated,seattle-wa,108903,xblMbFN3nT6HEd9O9P1M5A,1
hf_validated,cdmx,11525,SeO8w2QyJFSYcLy1kYhA1w,1
hf_validated,seattle-wa,115376,jwvWyStHCfGr5JWJdkIlSw,1
hf_validated,newberg-or,2622,yKu400XrytRcj0IoDQgn1Q,1
hf_validated,seattle-wa,854,vcGWlkP-lNLD08uqjpbHeA,1
hf_validated,chicago-il,801,BHPMqaj6Y9nXeLH0dtg6EQ,1
hf_validated,columbus-oh,26626,Xi4fWFzJ1HbcnYWfPsZ0iw,1
hf_validated,spgg,97192,dInHCtPneQg85EK1Hzr6Kw,1
hf_validated,seattle-wa,162494,wMqBFBoDfTIPnicaVeP72A,1
hf_validated,oradell-nj,10943,Yu1NIob5Zxf7AyGMlXiuoQ,1
hf_validated,chicago-il,14869,M8A26sOmgsXgFhV9Uxr6ow,1
hf_validated,pittsburgh-pa,15258,YFqXsfjRBJNnmySjKcgq3Q,1
hf_validated,pittsburgh-pa,12001,lS2hYJZroF5wCwg6SnJs1g,1
hf_validated,newberg-or,6381,Ols2g4Vr10fYBMmLwNrCBA,1
hf_validated,columbus-oh,37099,29MAS1qAG9N109Rigv9dNw,1
hf_validated,chicago-il,28867,n4VQ-bzK-X-YjB2-xf_tTg,1
hf_validated,oradell-nj,7694,43tiNU7m26gZfF6CP0vDPA,1
hf_validated,oradell-nj,9786,SgiiK4Vuqhv6fQVAehhgrg,1
hf_validated,pittsburgh-pa,9517,S3rZFqAPgoKXdi23wJnSNw,1
hf_validated,columbus-oh,187,7vXda3GEzpQ63ish4HuIkg,1
hf_validated,seattle-wa,150967,HC0dnlwoQsfNxQV9Hl17sQ,1
hf_validated,oradell-nj,1866,nY2lHD9jgvi05vJpK5B5hA,1
hf_validated,oradell-nj,8711,3FGtkzuXbvbaq-WdMrO7-g,1
hf_validated,oradell-nj,11168,iJcy9BU8j93jFnr0AbZTGg,1
hf_validated,seattle-wa,33924,Nm4Uy0sGFmgq1j0jfZd5wA,1
hf_validated,chicago-il,15270,z3hgIzqPo6OHLFj0oQvSHQ,1
hf_validated,seattle-wa,175456,5U-JsJdk7vDnTTp0tHalIw,1
hf_validated,chicago-il,1180,stC0rMKIGfOuGuvCiLBQRQ,1
hf_validated,seattle-wa,102679,gCyTr52qHewdybgYFuU0kQ,1
hf_validated,chicago-il,1905,8RkajyyzgBsmPtrt5xhR9Q,1
hf_validated,seattle-wa,160738,WeQpL1r-IwVz2r6_WZtvTA,1
hf_validated,chicago-il,1217,CKrWu9b_jaNmmJZnIw2GQg,1
hf_validated,seattle-wa,211515,PlT-JsAQZ_uU-_l5mJ4FGg,1
hf_validated,pittsburgh-pa,15047,1wIAf8raW4T_jyT13Zjq5g,1
hf_validated,newberg-or,17169,E6yAQUTrvPFLpE6QRpePKg,1
hf_validated,spgg,16147,V4F2CjYf3n5i_ItfJoBHFg,1
hf_validated,cdmx,3015,NNdPRqY0Cw9xJI0ad9mutA,1
hf_validated,newberg-or,9339,iOCFz-KAsSa8jPmAtW4xZA,1
hf_validated,chicago-il,10118,vI0o0ZOODXPbPXT3k5Hu1Q,1
hf_validated,seattle-wa,99854,HC0dnlwoQsfNxQV9Hl17sQ,1
hf_validated,seattle-wa,185749,0cuqa4i_WqJ4-MLpet0aZQ,1
hf_validated,newberg-or,18062,wqC3ox1TWUp1dH9EfzOEUw,1
hf_validated,seattle-wa,182229,tBKHZUuvAQGJ6d7tUpjWsw,1
hf_validated,seattle-wa,148943,X6Rtrg97YrN4pijMwoY01g,1
hf_validated,newberg-or,5119,88A5uFmJ4zhEYhBy79ymmQ,1
hf_validated,columbus-oh,14819,uJNE7diGe3j2Xiwf4OwIeA,1
hf_validated,oradell-nj,12834,cxJ8Pysaya7S_PhChgHuzA,1
hf_validated,columbus-oh,35293,PWgrOVXSXQoIv5zAozgdxQ,1
hf_validated,seattle-wa,99209,ebX9xn853l3gLrd8AMo0Ng,1
hf_validated,columbus-oh,1864,qoMGoo5OybQIbOHvVBRgDg,1
hf_validated,columbus-oh,13412,x9aDzlsWLgTcHXQgzM2upQ,1
hf_validated,seattle-wa,181149,teH7F37LLfiP3DRMXqptYA,1
hf_validated,oradell-nj,5352,Yu1NIob5Zxf7AyGMlXiuoQ,1
hf_validated,chicago-il,12908,go6XBa0SulTzOmsCyrWxTA,1
hf_validated,seattle-wa,23554,GPPg6GDvU03bs8Ru7OnMpw,1
hf_validated,chicago-il,6278,vMaVo41kuBag9Bsc0Agf0A,1
hf_validated,chicago-il,11083,R7hWKUpFiHEZYYsY3pIlbQ,1
hf_validated,columbus-oh,14677,uJNE7diGe3j2Xiwf4OwIeA,1
hf_validated,newberg-or,8065,wdy8Zl6tdjLjKGIPuxVGGg,1
hf_validated,chicago-il,531,W_5l2qnAsBgtpFYRLplWYA,1
hf_validated,cdmx,5399,_f5GJgMRsEppcV2Wl1cDNw,1
hf_validated,walla-walla,480,y2XJ0BTvegMsivb5Wxxdsw,1
hf_validated,spgg,72757,DN_D0ZzDYDvr1t2sUfMQpQ,1
hf_validated,seattle-wa,183881,cmn0Ddcbv8z7GN3AO-oYPw,1
hf_validated,seattle-wa,85145,Pkxl4SKZ3PCW6o0ahQ1nbg,1
hf_validated,seattle-wa,192921,txBtSHPxgsTxj8F7Wz3jLw,1
hf_validated,chicago-il,4458,oCPbS7sEEEEAtaT7YDhgOQ,1
hf_validated,seattle-wa,127611,4B7rZQ299g75UKrK_8bMCA,1
hf_validated,columbus-oh,22143,pjBBsVG49e6UIP1mYYxKjw,1
hf_validated,columbus-oh,839,TpgR1_CFiayYv_D28W6GNg,1
hf_validated,seattle-wa,170459,Ydk498kMFKKYH6H4XPAr9g,1
hf_validated,newberg-or,3604,dDyBPHw5zJbzS1kMcznlDQ,1
hf_validated,spgg,43959,hSSzj9mW5iO1iYuUQIFNpg,1
hf_validated,oradell-nj,7745,ahfUc3pi5e3DktcEB0xK0Q,1
hf_validated,seattle-wa,2173,BQ7tru5_xQgmHmbfUolyPQ,1
hf_validated,oradell-nj,8149,LPEQmFhUHcChEfFFOCz6JA,1
hf_validated,newberg-or,9976,YlOtj-UBUU7a14rkwa8_Ng,1
hf_validated,seattle-wa,138578,H368O5poywh5rETIYHpMGA,1
hf_validated,cdmx,2453,O5rbq8ar-rJE6D3EHs0Wjw,1
hf_validated,spgg,56580,dFpM5_PB3yRidkn7FKZnjw,1
hf_validated,cdmx,1190,EgZ2UGIa7FFqIcdeC3CzSw,1
hf_validated,walla-walla,311,YhP7Sh8LNImkD3LynFli8g,1
hf_validated,newberg-or,4870,VK-fN_9b5bOP01uMb5orCA,1
hf_validated,seattle-wa,63681,YykdBgCgCjKlmRe3Llw8pg,1
hf_validated,chicago-il,10999,J8YJsSU0WQYJPFJkAlFZbg,1
hf_validated,columbus-oh,14556,7OwcAo6HyAcPZSt8Q5k4Ww,1
hf_validated,pittsburgh-pa,1989,zGQhgtNDmi8k0tlYWKinFA,1
hf_validated,newberg-or,12445,JnCvD1Q6q648MQtrCPt--g,1
hf_validated,seattle-wa,123921,dUqHS7EOq-oaaVnHnk7Urg,1
hf_validated,seattle-wa,70008,bkWvzM6QPGRkF7_EGuAC3A,1
hf_validated,seattle-wa,29620,y_YmZNbT-f6M-9GE2kvELQ,1
hf_validated,spgg,6260,pAiSYTO-aA8PyMI187Gz8g,1
hf_validated,seattle-wa,178160,pco10DSvb2CW9KuBS9ASew,1
hf_validated,oradell-nj,11,8AsY4nlOJQAo8P5YYaEjzA,1
hf_validated,seattle-wa,192323,4icPdwEIAlXJPaBlu8sVmw,1
hf_validated,seattle-wa,182885,RAFi4einT7x6mPa7TVo6WQ,1
hf_validated,seattle-wa,95538,13wsZecLi5fOvE2zXEhUPQ,1
hf_validated,chicago-il,11032,wV4338SF-waNGMUisTgpxQ,1
hf_validated,seattle-wa,105934,ueLwuDtnAa_n-tLhdyfnAQ,1
hf_validated,seattle-wa,100303,_2eUBD5rLmE44pYULhHzaA,1
hf_validated,seattle-wa,238297,paZAvVWcICfOw8JO45n02A,1
hf_validated,columbus-oh,22331,ECXgeByqANyDlAxDX51cqg,1
hf_validated,seattle-wa,9081,IihP_m8hoikTIMvSYw8UGA,1
hf_validated,chicago-il,11100,YmXtw67dzMVl960mo9JjUg,1
hf_validated,seattle-wa,236553,XhlRV96gDTZ0Z8bdv7ognA,1
hf_validated,seattle-wa,264217,-1AuTXDlvw7pQuK6iPvGAw,1
hf_validated,columbus-oh,26709,cuIXsq64ubHIesxwUuqLsA,1
hf_validated,chicago-il,16,VvFlgEkOuGmMtvvgO6lZog,1
hf_validated,chicago-il,9224,VsKcXgqAnVGRbRXtzY1rcA,1
hf_validated,amsterdam,30609,GY5PPcvj0CB6p2bBYexIyg,1
