group,arm,threshold,precision,recall,f1,precision_lo,precision_hi,recall_lo,recall_hi,tp,fp,fn,ignored,dets_per_pano,n_panos
annapolis,single,0.49,0.9652173913043478,0.7551020408163265,0.847328244274809,0.9328775030227985,0.9822718972549964,0.7028628834053393,0.8007605191012278,222,8,72,5,1.88,125
annapolis,single,0.5,0.9694323144104804,0.7551020408163265,0.8489483747609942,0.9382586665832375,0.9851158506851545,0.7028628834053393,0.8007605191012278,222,7,72,5,1.872,125
annapolis,single,0.55,0.9730941704035875,0.7380952380952381,0.8394584139264992,0.9425525753961802,0.9876119094249461,0.6849964907869005,0.785052018219229,217,6,77,4,1.816,125
annapolis,single,0.6,0.9760765550239234,0.6938775510204082,0.8111332007952285,0.9452284165906996,0.9897391837280353,0.6389749406948904,0.7437788452101008,204,5,90,4,1.704,125
annapolis,single,0.65,0.9896373056994818,0.6496598639455783,0.7843942505133471,0.9630092727000982,0.9971536196966307,0.5935136144618021,0.7019454483420509,191,2,103,2,1.56,125
annapolis,single,0.7,0.988950276243094,0.608843537414966,0.7536842105263158,0.9606120674592017,0.9969645819530518,0.5519986944284432,0.662880623974359,179,2,115,2,1.464,125
annapolis,single,0.75,0.9939024390243902,0.5544217687074829,0.7117903930131004,0.96627290966789,0.9989228463306229,0.49726786132167916,0.6101717978797218,163,1,131,2,1.328,125
annapolis,single,0.8,0.993103448275862,0.4897959183673469,0.6560364464692483,0.9619713263011486,0.9987815814880713,0.4331542363067837,0.5467008275929537,144,1,150,2,1.176,125
annapolis,single,0.85,0.9914529914529915,0.3945578231292517,0.5644768856447688,0.9531693460245405,0.9984896853024199,0.3403932383879576,0.451442421909328,116,1,178,1,0.944,125
annapolis,single,0.9,1.0,0.23129251700680273,0.3756906077348066,0.9465268034119508,1.0,0.1867453037910161,0.2827713789020665,68,0,226,0,0.544,125
annapolis,tta,0.05,0.6069767441860465,0.8877551020408163,0.7209944751381215,0.5600591278910836,0.651999835564703,0.8465562709863227,0.9189513008236595,261,169,33,15,3.56,125
annapolis,tta,0.1,0.7363896848137536,0.8741496598639455,0.7993779160186625,0.6877711519637606,0.7798607825927089,0.8313470163886088,0.9073006406210233,257,92,37,12,2.888,125
annapolis,tta,0.15,0.796875,0.8673469387755102,0.8306188925081432,0.7493925923611828,0.8373139950568635,0.8237957105370217,0.9014219890724351,255,65,39,9,2.632,125
annapolis,tta,0.2,0.8372881355932204,0.8401360544217688,0.8387096774193549,0.7908795318191442,0.8750250811932343,0.79389726718031,0.8776006028284464,247,48,47,8,2.424,125
annapolis,tta,0.21,0.8424657534246576,0.8367346938775511,0.8395904436860068,0.7962676462612153,0.8797698008050527,0.7901910402530654,0.8745918510556034,246,46,48,8,2.4,125
annapolis,tta,0.22,0.8472222222222222,0.8299319727891157,0.8384879725085911,0.8011220570154924,0.8841812033832992,0.7827973966940514,0.8685555372144425,244,44,50,8,2.368,125
annapolis,tta,0.23,0.8461538461538461,0.8231292517006803,0.8344827586206898,0.7997754469065091,0.8833563050573222,0.77542786056029,0.8624951159480285,242,44,52,8,2.352,125
