epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,68113.1,1.01384,1.03141,1.05731,0.83738,0.72985,0.82886,0.53472,0.95517,0.98492,1.06742,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,73776.5,1.0097,1.02709,1.0553,0.83732,0.73078,0.82938,0.53556,0.95445,0.98242,1.06738,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,79438.2,1.00613,1.02154,1.05578,0.83724,0.73121,0.82991,0.53619,0.95426,0.97976,1.06772,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,85052.9,0.93993,1.0116,1.03271,0.83759,0.73097,0.83005,0.53607,0.95368,0.97907,1.06769,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,5664.85,0.98581,0.98484,1.04665,0.83709,0.73237,0.83088,0.53705,0.95375,0.97554,1.06794,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,11333.2,0.98761,0.98131,1.04822,0.83755,0.73339,0.83183,0.53738,0.95431,0.97277,1.06819,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,17001.7,0.97937,0.98004,1.04538,0.83847,0.73382,0.83252,0.53782,0.95357,0.97173,1.0682,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,22670.7,0.97598,0.97002,1.04353,0.8383,0.73411,0.83292,0.53845,0.95243,0.97143,1.06823,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,28339.6,0.96855,0.9608,1.0404,0.83906,0.73424,0.83337,0.53878,0.95185,0.97004,1.06853,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,33989.9,0.96284,0.94993,1.03847,0.83947,0.73514,0.83391,0.53936,0.95142,0.96852,1.06891,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,39639.4,0.95673,0.93958,1.03554,0.83932,0.73631,0.83446,0.53947,0.9522,0.96565,1.06934,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,45295.6,0.95177,0.92939,1.03392,0.84076,0.73567,0.83488,0.53969,0.95359,0.96336,1.07046,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,50978.1,0.9454,0.92473,1.03137,0.84141,0.7357,0.83508,0.53982,0.95407,0.96186,1.07134,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
